92.118.160.57 - - "2021-11-08 00:02:57" https://arj.af/index.php/arj/index 200 "Go http package"
87.250.224.54 bot - "2021-11-08 00:04:27" https://arj.af/index.php/arj/article/view/7 200 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
157.55.39.112 bot - "2021-11-08 04:09:00" https://arj.af/index.php/arj/article/view/4 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
157.55.39.113 bot - "2021-11-08 04:27:50" https://arj.af/index.php/arj/article/view/7 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
131.220.6.152 - - "2021-11-08 05:15:59" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.79 Safari/537.36"
66.249.73.134 bot - "2021-11-08 05:58:15" https://arj.af/index.php/arj/article/download/5/3/20 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Googlebot/2.1; +http://www.google.com/bot.html) Chrome/95.0.4638.69 Safari/537.36"
66.249.73.130 bot - "2021-11-08 06:19:19" https://arj.af/index.php/arj/article/download/5/3/20 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
157.55.39.51 bot - "2021-11-08 06:19:46" https://arj.af/index.php/arj/article/view/3 200 "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
65.21.165.219 - - "2021-11-08 08:16:41" https://arj.af/index.php/arj/index 200 "got (https://github.com/sindresorhus/got)"
65.21.165.219 - - "2021-11-08 08:16:42" https://arj.af/index.php/arj/index 200 "got (https://github.com/sindresorhus/got)"
87.250.224.175 bot - "2021-11-08 11:41:44" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots)"
87.250.224.198 bot - "2021-11-08 12:28:23" https://arj.af/index.php/arj/article/view/4 200 "Mozilla/5.0 (compatible; YandexBot/3.0; +http://yandex.com/bots) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.268"
109.102.111.61 - - "2021-11-08 17:06:01" https://arj.af/index.php/arj/index 200 "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET4.0C; .NET4.0E)"
109.102.111.61 - - "2021-11-08 17:06:03" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; EIE11;ENUSMSN; rv:11.0) like Gecko"
109.102.111.61 - - "2021-11-08 17:06:06" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.99 Safari/537.36"
109.102.111.61 - - "2021-11-08 17:06:13" https://arj.af/index.php/arj/issue/view/2 200 "Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)"
109.102.111.61 - - "2021-11-08 17:06:19" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:36.0) Gecko/20100101 Firefox/36.0"
109.102.111.61 - - "2021-11-08 17:06:24" https://arj.af/index.php/arj/article/view/3 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11) AppleWebKit/601.1.50 (KHTML, like Gecko) Version/9.0 Safari/601.1.50"
109.102.111.61 - - "2021-11-08 17:06:25" https://arj.af/index.php/arj/article/view/4 200 "Mozilla/5.0 (Linux; Android 5.1.1; Nexus 9 Build/LMY48I) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.84 Safari/537.36"
109.102.111.61 - - "2021-11-08 17:06:27" https://arj.af/index.php/arj/article/view/5 200 "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.130 Safari/537.36"
109.102.111.61 - - "2021-11-08 17:06:29" https://arj.af/index.php/arj/article/view/6 200 "Mozilla/5.0 (Linux; Android 4.1.2; GT-N8013 Build/JZO54K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.84 Safari/537.36"
109.102.111.61 - - "2021-11-08 17:06:32" https://arj.af/index.php/arj/article/view/7 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/43.0.2357.132 Safari/537.36"
109.102.111.61 - - "2021-11-08 17:06:33" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.3; Win64; x64; Trident/7.0; Touch; MASAJS; rv:11.0) like Gecko"
109.102.111.61 - - "2021-11-08 17:06:37" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.155 Safari/537.36"
109.102.111.61 - - "2021-11-08 17:06:40" https://arj.af/index.php/arj/issue/view/2 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.116 Safari/537.36"
109.102.111.61 - - "2021-11-08 17:06:42" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36"
109.102.111.61 - - "2021-11-08 17:06:43" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.155 Safari/537.36"
109.102.111.61 - - "2021-11-08 17:06:46" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.107 Safari/537.36"
109.102.111.61 - - "2021-11-08 17:06:50" https://arj.af/index.php/arj/article/view/3 200 "Mozilla/5.0 (iPad; CPU OS 8_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12D508 Safari/600.1.4"
109.102.111.61 - - "2021-11-08 17:06:51" https://arj.af/index.php/arj/article/view/4 200 "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36"
109.102.111.61 - - "2021-11-08 17:06:52" https://arj.af/index.php/arj/article/view/5 200 "Mozilla/5.0 (Windows NT 5.2; rv:40.0) Gecko/20100101 Firefox/40.0"
109.102.111.61 - - "2021-11-08 17:06:53" https://arj.af/index.php/arj/article/view/6 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/44.0.2403.157 Safari/537.36"
109.102.111.61 - - "2021-11-08 17:06:55" https://arj.af/index.php/arj/article/view/7 200 "Mozilla/5.0 (X11; CrOS x86_64 7262.52.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.86 Safari/537.36"
109.102.111.61 - - "2021-11-08 17:06:59" https://arj.af/index.php/arj/issue/view/2 200 "Mozilla/5.0 (Linux; Android 5.0; SAMSUNG SM-N900P Build/LRX21V) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/2.1 Chrome/34.0.1847.76 Mobile Safari/537.36"
109.102.111.61 - - "2021-11-08 17:07:01" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (X11; Linux x86_64; rv:31.0) Gecko/20100101 Firefox/31.0"
109.102.111.61 - - "2021-11-08 17:07:03" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.125 Safari/537.36"
109.102.111.61 - - "2021-11-08 17:07:05" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:40.0) Gecko/20100101 Firefox/40.0"
109.102.111.61 - - "2021-11-08 17:07:07" https://arj.af/index.php/arj/article/view/3 200 "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/6.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3; .NET4.0C; .NET4.0E)"
109.102.111.61 - - "2021-11-08 17:07:09" https://arj.af/index.php/arj/article/view/4 200 "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/6.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; InfoPath.3)"
109.102.111.61 - - "2021-11-08 17:07:10" https://arj.af/index.php/arj/article/view/5 200 "Mozilla/5.0 (X11; Linux i686) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36"
109.102.111.61 - - "2021-11-08 17:07:11" https://arj.af/index.php/arj/article/view/6 200 "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; MDDSJS; rv:11.0) like Gecko"
109.102.111.61 - - "2021-11-08 17:07:13" https://arj.af/index.php/arj/article/view/7 200 "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36"
109.102.111.61 - - "2021-11-08 17:07:17" https://arj.af/index.php/arj/issue/view/2 200 "Mozilla/5.0 (iPad; CPU OS 8_1_1 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B435 Safari/600.1.4"
