192.241.72.90 - - "2024-01-09 00:10:15" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 OPR/89.0.4447.51"
66.249.69.172 bot - "2024-01-09 00:23:42" https://arj.af/index.php/arj/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.69.173 bot - "2024-01-09 00:37:08" https://arj.af/index.php/arj/article/download/42/24/90 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
5.188.62.26 - - "2024-01-09 00:38:41" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4895.86 Safari/537.36"
5.188.62.26 - - "2024-01-09 00:40:25" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4895.86 Safari/537.36"
5.188.62.26 - - "2024-01-09 00:40:30" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4895.86 Safari/537.36"
5.188.62.26 - - "2024-01-09 00:40:35" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4895.86 Safari/537.36"
5.188.62.26 - - "2024-01-09 00:40:39" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4895.86 Safari/537.36"
5.188.62.26 - - "2024-01-09 00:40:44" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4895.86 Safari/537.36"
5.188.62.26 - - "2024-01-09 00:40:49" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4895.86 Safari/537.36"
5.188.62.26 - - "2024-01-09 00:40:54" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4895.86 Safari/537.36"
5.188.62.26 - - "2024-01-09 00:40:59" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4895.86 Safari/537.36"
5.188.62.26 - - "2024-01-09 00:41:04" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4895.86 Safari/537.36"
5.188.62.26 - - "2024-01-09 00:41:09" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4895.86 Safari/537.36"
5.188.62.26 - - "2024-01-09 00:41:14" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4895.86 Safari/537.36"
5.188.62.26 - - "2024-01-09 00:41:19" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4895.86 Safari/537.36"
5.188.62.26 - - "2024-01-09 00:41:24" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4895.86 Safari/537.36"
5.188.62.21 - - "2024-01-09 00:43:09" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36"
5.188.62.21 - - "2024-01-09 00:48:38" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.67 Safari/537.36"
5.188.62.21 - - "2024-01-09 00:48:43" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.67 Safari/537.36"
5.188.62.21 - - "2024-01-09 00:48:47" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.67 Safari/537.36"
5.188.62.21 - - "2024-01-09 00:48:52" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.67 Safari/537.36"
5.188.62.21 - - "2024-01-09 00:48:57" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.67 Safari/537.36"
