192.3.240.212 - - "2024-03-10 00:21:25" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1264.71"
66.249.75.36 bot - "2024-03-10 00:30:24" https://arj.af/index.php/arj/article/download/38/22/79 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
152.42.137.222 - - "2024-03-10 00:35:26" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
20.242.64.240 bot - "2024-03-10 00:37:30" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
20.242.64.240 bot - "2024-03-10 00:37:31" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
20.242.64.240 bot - "2024-03-10 00:37:31" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
20.242.64.240 bot - "2024-03-10 00:37:31" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
20.242.64.240 bot - "2024-03-10 00:37:32" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
20.242.64.240 bot - "2024-03-10 00:37:32" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
20.242.64.240 bot - "2024-03-10 00:37:33" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
20.242.64.240 bot - "2024-03-10 00:37:33" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
20.242.64.240 bot - "2024-03-10 00:37:33" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
20.242.64.240 bot - "2024-03-10 00:37:34" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
20.242.64.240 bot - "2024-03-10 00:37:34" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
20.242.64.240 bot - "2024-03-10 00:37:34" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
20.242.64.240 bot - "2024-03-10 00:37:35" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
20.242.64.240 bot - "2024-03-10 00:37:35" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
20.242.64.240 bot - "2024-03-10 00:37:35" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
20.242.64.240 bot - "2024-03-10 00:37:36" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
20.242.64.240 bot - "2024-03-10 00:37:36" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
20.242.64.240 bot - "2024-03-10 00:37:37" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
20.242.64.240 bot - "2024-03-10 00:37:37" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
20.242.64.240 bot - "2024-03-10 00:37:37" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
20.242.64.240 bot - "2024-03-10 00:37:38" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
