34.90.60.152 - - "2024-04-03 01:36:37" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
142.93.213.165 - - "2024-04-03 01:43:28" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/121.0.0.0 Safari/537.36"
52.167.144.16 bot - "2024-04-03 01:52:06" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
4.227.97.45 bot - "2024-04-03 02:01:54" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.227.97.45 bot - "2024-04-03 02:01:54" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.227.97.45 bot - "2024-04-03 02:01:55" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.227.97.45 bot - "2024-04-03 02:01:55" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.227.97.45 bot - "2024-04-03 02:01:55" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.227.97.45 bot - "2024-04-03 02:01:56" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
91.92.248.242 bot - "2024-04-03 02:53:47" https://arj.af/index.php/arj/index 200 "Go-http-client/1.1"
149.54.32.151 bot - "2024-04-03 02:59:10" https://arj.af/index.php/arj/index 200 "Safari/19617.2.4.11.12 CFNetwork/1492.0.1 Darwin/23.3.0"
149.54.32.151 bot - "2024-04-03 02:59:11" https://arj.af/index.php/arj/index 200 "Safari/19617.2.4.11.12 CFNetwork/1492.0.1 Darwin/23.3.0"
149.54.32.151 bot - "2024-04-03 02:59:13" https://arj.af/index.php/arj/index 200 "Safari/19617.2.4.11.12 CFNetwork/1492.0.1 Darwin/23.3.0"
149.54.32.151 bot - "2024-04-03 02:59:14" https://arj.af/index.php/arj/index 200 "Safari/19617.2.4.11.12 CFNetwork/1492.0.1 Darwin/23.3.0"
66.249.69.140 bot - "2024-04-03 03:33:39" https://arj.af/index.php/arj/issue/view/3 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
4.227.97.45 bot - "2024-04-03 03:50:09" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.227.97.45 bot - "2024-04-03 03:50:10" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.227.97.45 bot - "2024-04-03 03:50:10" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.227.97.45 bot - "2024-04-03 03:50:10" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.227.97.45 bot - "2024-04-03 03:50:11" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.227.97.45 bot - "2024-04-03 03:50:11" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.227.97.45 bot - "2024-04-03 03:50:11" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.227.97.45 bot - "2024-04-03 03:50:12" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.227.97.45 bot - "2024-04-03 03:50:12" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.227.97.45 bot - "2024-04-03 03:50:12" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.227.97.45 bot - "2024-04-03 03:50:13" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.227.97.45 bot - "2024-04-03 03:50:13" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.227.97.45 bot - "2024-04-03 03:50:13" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.227.97.45 bot - "2024-04-03 03:50:14" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.227.97.45 bot - "2024-04-03 03:50:14" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.227.97.45 bot - "2024-04-03 03:50:15" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
4.227.97.45 bot - "2024-04-03 03:50:15" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
