130.255.166.79 - - "2024-04-22 00:06:26" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Android 14; Mobile; rv:123.0) Gecko/123.0 Firefox/123"
52.167.144.194 bot - "2024-04-22 00:16:10" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
190.92.215.15 - - "2024-04-22 00:17:24" https://arj.af/index.php/arj/article/download/38/22/79 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36"
57.128.65.130 - - "2024-04-22 00:19:39" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/119.0"
57.128.65.130 - - "2024-04-22 00:19:41" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/119.0"
152.42.181.219 - - "2024-04-22 00:59:41" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
62.210.185.4 bot - "2024-04-22 02:10:25" https://arj.af/index.php/arj/index 200 ""
208.109.224.121 bot - "2024-04-22 02:10:55" https://arj.af/index.php/arj/index 200 ""
45.138.16.178 - - "2024-04-22 02:39:52" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36"
198.235.24.177 bot - "2024-04-22 03:21:20" https://arj.af/index.php/arj/index 200 ""
81.0.246.39 - - "2024-04-22 03:45:47" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 7.0; SM-G892A Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Mobile Safari/537.36"
84.246.85.11 bot - "2024-04-22 03:57:40" https://arj.af/index.php/arj/index 200 "2ip bot/1.1 (+http://2ip.io)"
84.246.85.11 bot - "2024-04-22 03:57:49" https://arj.af/index.php/arj/index 200 "2ip bot/1.1 (+http://2ip.io)"
84.246.85.11 bot - "2024-04-22 03:58:00" https://arj.af/index.php/arj/index 200 "2ip bot/1.1 (+http://2ip.io)"
4.242.222.26 - - "2024-04-22 04:05:24" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36"
139.18.242.215 - - "2024-04-22 06:04:20" https://arj.af/index.php/arj/index 200 "metha/0.3.2"
20.172.15.155 bot - "2024-04-22 07:32:44" https://arj.af/index.php/arj/index 200 ""
20.172.15.155 bot - "2024-04-22 07:33:16" https://arj.af/index.php/arj/index 200 ""
45.80.158.62 bot - "2024-04-22 08:20:04" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
45.80.158.62 bot - "2024-04-22 08:20:05" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
45.80.158.62 bot - "2024-04-22 08:20:06" https://arj.af/index.php/arj/index 200 "Go-http-client/2.0"
