114.104.134.118 - - "2024-04-25 00:05:20" https://arj.af/index.php/arj/index 200 "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; AskTbARS/5.11.1.15497)"
139.18.242.215 - - "2024-04-25 00:34:21" https://arj.af/index.php/arj/index 200 "metha/0.3.2"
36.143.55.246 - - "2024-04-25 01:01:38" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36"
36.143.55.246 bot - "2024-04-25 01:02:09" https://arj.af/index.php/arj/article/view/45 200 "Go-http-client/1.1"
36.143.55.246 bot - "2024-04-25 01:02:11" https://arj.af/index.php/arj/article/download/45/25/94 200 "Go-http-client/1.1"
36.143.55.246 bot - "2024-04-25 01:03:41" https://arj.af/index.php/arj/article/download/58/27/142 200 "Go-http-client/1.1"
36.143.55.246 bot - "2024-04-25 01:03:49" https://arj.af/index.php/arj/issue/view/5 200 "Go-http-client/1.1"
36.143.55.246 bot - "2024-04-25 01:03:50" https://arj.af/index.php/arj/article/view/58 200 "Go-http-client/1.1"
36.143.55.246 bot - "2024-04-25 01:03:53" https://arj.af/index.php/arj/issue/view/5 200 "Go-http-client/1.1"
36.143.55.246 bot - "2024-04-25 01:03:54" https://arj.af/index.php/arj/issue/view/5 200 "Go-http-client/1.1"
36.143.55.246 bot - "2024-04-25 01:03:54" https://arj.af/index.php/arj/issue/view/5 200 "Go-http-client/1.1"
36.143.55.246 bot - "2024-04-25 01:03:56" https://arj.af/index.php/arj/issue/view/5 200 "Go-http-client/1.1"
36.143.55.246 bot - "2024-04-25 01:03:57" https://arj.af/index.php/arj/issue/view/5 200 "Go-http-client/1.1"
36.143.55.246 bot - "2024-04-25 01:03:57" https://arj.af/index.php/arj/issue/view/5 200 "Go-http-client/1.1"
36.143.55.246 bot - "2024-04-25 01:03:58" https://arj.af/index.php/arj/issue/view/5 200 "Go-http-client/1.1"
36.143.55.246 bot - "2024-04-25 01:03:59" https://arj.af/index.php/arj/issue/view/5 200 "Go-http-client/1.1"
36.143.55.246 bot - "2024-04-25 01:03:59" https://arj.af/index.php/arj/issue/view/5 200 "Go-http-client/1.1"
36.143.55.246 bot - "2024-04-25 01:04:00" https://arj.af/index.php/arj/issue/view/5 200 "Go-http-client/1.1"
36.143.55.246 bot - "2024-04-25 01:04:01" https://arj.af/index.php/arj/issue/view/5 200 "Go-http-client/1.1"
36.143.55.246 bot - "2024-04-25 01:04:02" https://arj.af/index.php/arj/issue/view/5 200 "Go-http-client/1.1"
36.143.55.246 bot - "2024-04-25 01:04:02" https://arj.af/index.php/arj/issue/view/5 200 "Go-http-client/1.1"
36.143.55.246 bot - "2024-04-25 01:04:03" https://arj.af/index.php/arj/issue/view/5 200 "Go-http-client/1.1"
36.143.55.246 bot - "2024-04-25 01:04:04" https://arj.af/index.php/arj/issue/view/5 200 "Go-http-client/1.1"
36.143.55.246 bot - "2024-04-25 01:04:05" https://arj.af/index.php/arj/issue/view/5 200 "Go-http-client/1.1"
36.143.55.246 bot - "2024-04-25 01:04:05" https://arj.af/index.php/arj/issue/view/5 200 "Go-http-client/1.1"
36.143.55.246 bot - "2024-04-25 01:04:06" https://arj.af/index.php/arj/issue/view/5 200 "Go-http-client/1.1"
36.143.55.246 bot - "2024-04-25 01:04:07" https://arj.af/index.php/arj/issue/view/5 200 "Go-http-client/1.1"
36.143.55.246 bot - "2024-04-25 01:04:07" https://arj.af/index.php/arj/issue/view/5 200 "Go-http-client/1.1"
36.143.55.246 bot - "2024-04-25 01:04:08" https://arj.af/index.php/arj/issue/view/5 200 "Go-http-client/1.1"
36.143.55.246 bot - "2024-04-25 01:04:09" https://arj.af/index.php/arj/issue/view/5 200 "Go-http-client/1.1"
36.143.55.246 bot - "2024-04-25 01:04:09" https://arj.af/index.php/arj/issue/view/5 200 "Go-http-client/1.1"
