94.156.69.215 - - "2024-06-22 00:28:16" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36"
159.138.103.201 - - "2024-06-22 01:07:53" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36 Edg/101.0.1210.47"
38.242.238.150 - - "2024-06-22 02:13:30" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0"
38.242.238.150 - - "2024-06-22 02:13:33" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0"
38.242.238.150 - - "2024-06-22 02:13:36" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0"
38.242.238.150 - - "2024-06-22 02:13:39" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0"
38.242.238.150 - - "2024-06-22 02:13:41" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0"
38.242.238.150 - - "2024-06-22 02:13:44" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0"
38.242.238.150 - - "2024-06-22 02:13:46" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0"
38.242.238.150 - - "2024-06-22 02:13:49" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0"
38.242.238.150 - - "2024-06-22 02:13:51" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.3; Win64; x64; rv:63.0) Gecko/20100101 Firefox/63.0"
66.249.75.65 bot - "2024-06-22 03:30:48" https://arj.af/index.php/arj/article/download/7/5/19 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.77.6 bot - "2024-06-22 03:37:30" https://arj.af/index.php/arj/article/view/66 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.77.5 bot - "2024-06-22 04:06:55" https://arj.af/index.php/arj/article/view/13 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
205.210.31.161 bot - "2024-06-22 04:14:08" https://arj.af/index.php/arj/index 200 ""
66.249.75.66 bot - "2024-06-22 04:14:42" https://arj.af/index.php/arj/article/download/14/21/69 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
