45.148.10.75 - - "2024-07-28 00:35:04" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:77.0) Gecko/20100101 Firefox/77.0"
35.90.60.223 - - "2024-07-28 00:53:52" https://arj.af/index.php/arj/issue/view/4 200 "mozilla/5.0 (windows; u; windows nt 10.3; wow64) gecko/20100101 firefox/58.1"
144.217.135.185 - - "2024-07-28 02:32:29" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (compatible; Dataprovider.com)"
144.217.135.185 - - "2024-07-28 02:32:32" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (compatible; Dataprovider.com)"
144.217.135.185 - - "2024-07-28 02:32:33" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (compatible; Dataprovider.com)"
144.217.135.185 - - "2024-07-28 02:32:40" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (compatible; Dataprovider.com)"
144.217.135.185 - - "2024-07-28 02:32:43" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (compatible; Dataprovider.com)"
144.217.135.185 - - "2024-07-28 02:32:44" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (compatible; Dataprovider.com)"
144.217.135.185 - - "2024-07-28 02:32:44" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 10; SM-G981B) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.162 Mobile Safari/537.36"
144.217.135.185 - - "2024-07-28 02:32:44" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (compatible; Dataprovider.com)"
144.217.135.185 - - "2024-07-28 02:32:45" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (compatible; Dataprovider.com)"
124.220.161.119 - - "2024-07-28 02:32:51" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 10; LIO-AN00 Build/HUAWEILIO-AN00; wv) MicroMessenger Weixin QQ AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.62 XWEB/2692 MMWEBSDK/200901 Mobile Safari/537.36"
149.56.150.64 - - "2024-07-28 02:33:02" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (compatible; Dataprovider.com)"
66.249.69.129 bot - "2024-07-28 02:53:18" https://arj.af/index.php/arj/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
124.220.161.119 - - "2024-07-28 03:03:21" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 10; LIO-AN00 Build/HUAWEILIO-AN00; wv) MicroMessenger Weixin QQ AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/78.0.3904.62 XWEB/2692 MMWEBSDK/200901 Mobile Safari/537.36"
35.87.249.69 - - "2024-07-28 03:45:05" https://arj.af/index.php/arj/article/download/6/8/18 200 "mozilla/5.0 (windows nt 6.1; win64; x64; en-us) gecko/20130401 firefox/63.1"
54.214.172.125 - - "2024-07-28 04:10:23" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 8.0.0; SM-G965U Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.111 Mobile Safari/537.36"
66.249.77.198 bot - "2024-07-28 04:23:52" https://arj.af/index.php/arj/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
35.89.81.77 - - "2024-07-28 04:30:24" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; Android 8.0.0; SM-G965U Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.111 Mobile Safari/537.36"
1.92.74.83 - - "2024-07-28 05:27:37" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Linux; U; Android 11; zh-cn; Redmi K30 Pro Build/RKQ1.200826.002) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/79.0.3945.147 Mobile Safari/537.36"
205.210.31.149 bot - "2024-07-28 05:33:37" https://arj.af/index.php/arj/index 200 ""
46.250.230.5 bot - "2024-07-28 05:54:59" https://arj.af/index.php/arj/index 200 ""
46.250.230.5 bot - "2024-07-28 05:55:00" https://arj.af/index.php/arj/index 200 ""
46.250.230.5 bot - "2024-07-28 05:55:00" https://arj.af/index.php/arj/index 200 ""
94.156.67.184 - - "2024-07-28 06:27:59" https://arj.af/index.php/arj/index 200 "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
