122.228.8.130 bot - "2024-08-25 00:20:55" https://arj.af/index.php/arj/index 200 "Go-http-client/1.1"
207.244.236.50 - - "2024-08-25 01:45:59" https://arj.af/index.php/arj/index 200 "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
139.18.242.215 - - "2024-08-25 01:53:26" https://arj.af/index.php/arj/index 200 "metha/0.3.11"
66.249.69.129 bot - "2024-08-25 02:31:38" https://arj.af/index.php/arj/article/download/7/5/19 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.6533.119 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
139.215.112.231 - - "2024-08-25 03:37:50" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.93 Safari/537.36"
139.215.112.231 bot - "2024-08-25 03:37:53" https://arj.af/index.php/arj/article/view/58 200 "Go-http-client/1.1"
139.215.112.231 bot - "2024-08-25 03:38:02" https://arj.af/index.php/arj/article/view/66 200 "Go-http-client/1.1"
66.249.69.128 bot - "2024-08-25 03:40:29" https://arj.af/index.php/arj/article/download/66/28/151 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
223.12.235.234 - - "2024-08-25 03:53:09" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.90 Safari/537.36"
66.249.69.128 bot - "2024-08-25 04:05:41" https://arj.af/index.php/arj/issue/view/5 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
40.77.167.5 bot - "2024-08-25 04:32:57" https://arj.af/index.php/arj/index 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36"
52.164.121.235 bot - "2024-08-25 04:48:09" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:10" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:11" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:11" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:12" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:13" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:13" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:14" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:15" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:16" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:17" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:18" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:19" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:20" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:20" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:21" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:22" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:23" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:23" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:24" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:25" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:26" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:26" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:27" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:28" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:28" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:29" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:30" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:31" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:32" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:32" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:33" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:34" https://arj.af/index.php/arj/index 200 ""
52.164.121.235 bot - "2024-08-25 04:48:34" https://arj.af/index.php/arj/index 200 ""
